Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day99,other_day54,0.063049257,0.228721241,0.670736777,134.0612565,,0.01841273,,4.509348492,0.000165713
constant+Day100,other_day55,0.068154534,0.247241448,0.725048235,137.1282227,,0.018417975,,4.42116907,0.000162573
constant+Day101,other_day56,0.074899509,0.27170992,0.796803284,146.01302,,0.017373741,,4.356175151,0.000157961
constant+Day102,other_day57,0.071311561,0.258694068,0.75863363,146.0136912,,0.016568952,,4.235326789,0.000160736
constant+Day103,other_day58,0.068124155,0.247131242,0.724725049,146.0140577,,0.014043087,,3.797365132,0.000154467
constant+Day104,other_day59,0.064102237,0.232541095,0.681938696,146.0149879,,0.014043085,,3.319034211,0.000152651
constant+Day105,other_day60,0.060537991,0.219611222,0.644021178,146.0209483,,0.014043086,,2.857924346,0.000170409
constant+Day106,other_day61,0.057337743,0.208001813,0.60997599,146.030846,,0.014043068,,2.383042393,0.000168021
constant+Day107,other_day62,0.056911949,0.206457178,0.605446271,146.1349955,,0.014043015,,1.979541819,0.000164713
constant+Day108,other_day63,0.054521136,0.197784122,0.580012088,15.57024838,,0.01404297,,1.956142764,0.000169654
constant+Day109,other_day64,0.053840907,0.195316482,0.572775607,15.60619413,,0.014042716,,2.008116539,0.000161966
constant+Day110,other_day65,0.05316475,0.192863613,0.565582442,15.91388044,,0.01404062,,1.989551556,0.000167398
constant+Day111,other_day66,0.049768876,0.180544541,0.529456131,11.74681913,,0.014039779,,1.926369475,0.000162094
constant+Day112,other_day67,0.041024586,0.148823231,0.436431761,11.47695918,,0.01403521,,1.772015637,0.000156303
constant+Day113,other_day68,0.029957447,0.108675421,0.318696248,10.05626165,,0.014004786,,1.395809076,0.000158658
constant+Day114,other_day69,0.020261112,0.073500416,0.215543743,8.34829583,,0.013920524,,0.962745828,0.000165552
constant+Day115,other_day70,0.01083862,0.039318825,0.115304472,32.69285935,,0.005498509,,0.520282153,0.000160823
constant+Day116,other_day71,0.013329848,0.048356151,0.141806894,69.05112628,,0.005276019,,0.252568176,0.000164931
constant+Day117,other_day72,0.020154167,0.073112456,0.214406029,69.56169699,,0.009047266,,0.346893503,0.000166829
constant+Day118,other_day73,0.027476289,0.099674624,0.29230095,71.21588113,,0.009837008,,0.589686788,0.000165943
constant+Day119,other_day74,0.03076882,0.111618803,0.327327868,75.76062533,,0.00982859,,0.74400521,0.000164918
constant+Day120,other_day75,0.030488507,0.110601925,0.324345821,90.49410699,,0.009805449,,0.762666911,0.000158025
constant+Day121,other_day76,0.02830177,0.102669186,0.301082656,145.7362564,,0.009751708,,0.772165073,0.000150697
constant+Day122,other_day77,0.02920633,0.105950624,0.310705643,241.4754892,,0.009674099,,0.911418798,0.000152858
constant+Day123,other_day78,0.030808321,0.1117621,0.327748093,247.8870546,,0.009668921,,0.941376285,0.000152829
constant+Day124,other_day79,0.031811184,0.115400145,0.338416849,258.1925788,,0.009662001,,1.023205109,0.000154622
constant+Day125,other_day80,0.032735848,0.118754514,0.348253706,263.8924244,,0.009658623,,1.080383858,0.000155867
constant+Day126,other_day81,0.03251238,0.117943845,0.34587638,342.206942,,0.00960242,,0.894644903,0.00015652
constant+Day127,other_day82,0.031982468,0.116021507,0.340239023,523.1564482,,0.009399159,,0.893187187,0.00016415
constant+Day128,other_day83,0.03126209,0.11340822,0.332575427,712.2430774,,0.009163598,,0.922613424,0.000158963
constant+Day129,other_day84,0.02924801,0.106101824,0.311149045,527.1355293,,0.008934319,,0.913282038,0.000164341
constant+Day130,other_day85,0.026383661,0.095710941,0.280677247,54.04611611,,0.008860251,,0.877458102,0.000167707
constant+Day131,other_day86,0.021770407,0.078975625,0.231600074,0,,0.008846872,,0.799046859,0.000162126
constant+Day132,other_day87,0.016602896,0.060229655,0.176626554,0,,0.004865845,,0.693116703,0.000168385
constant+Day133,other_day88,0.016784203,0.060887376,0.178555354,0,,0.005038043,,0.676171405,0.000177796
constant+Day134,other_day89,0.02229339,0.08087283,0.237163725,1.241788599,,0.007336676,,0.766301038,0.000177588
constant+Day135,other_day90,0.029149411,0.105744141,0.31010012,9.381535549,,0.008491867,,0.978677197,0.000179759
constant+Day136,other_day91,0.031782079,0.115294564,0.338107225,9.250619414,,0.008490522,,1.113679645,0.000177788
constant+Day137,other_day92,0.036040658,0.130743238,0.383411256,8.947114876,,0.008487193,,1.216192963,0.000172176
constant+Day138,other_day93,0.041366911,0.150065071,0.440073522,12.94994469,,0.00847791,,1.328082261,0.000172822
constant+Day139,other_day94,0.043932509,0.159372187,0.467367118,11.27609686,,0.008459963,,1.4246973,0.000171075
constant+Day140,other_day95,0.04960135,0.179936811,0.527673934,20.90312122,,0.00918747,,1.540779694,0.000159819
constant+Day141,other_day96,0.057565444,0.208827836,0.612398345,20.05546142,,0.010515091,,1.894039718,0.000157775
constant+Day142,other_day97,0.064384616,0.233565469,0.684942724,18.71624164,,0.010514159,,2.086245173,0.000160024
constant+Day143,other_day98,0.07342409,0.266357602,0.781107337,17.13298332,,0.011696854,,2.356710506,0.000158495
constant+Day145,other_day100,0.079686642,0.289076011,0.847730236,20.29354815,,0.011696546,,2.667132223,0.000159282
constant+Day146,other_day101,0.087755383,0.318346655,0.933567903,41.52332754,,0.011695454,,3.118152453,7.52E-05
constant+Day147,other_day102,0.091447522,0.331740478,0.972845977,62.46892343,,0.011694839,,3.336965496,0.000154534
constant+Day148,other_day103,0.094993996,0.344605878,1.010574422,33.21227866,,0.011692876,,3.590470655,0.000154467
constant+Day149,other_day104,0.092575264,0.335831542,0.984843233,28.89473745,,0.011686094,,3.734691816,0.000158481
constant+Day150,other_day105,0.099370537,0.360482481,1.057133375,37.25892953,,0.012938494,,3.907610939,0.000153401
constant+Day151,other_day106,0.104985265,0.380850801,1.116864518,36.3491342,,0.018266852,,4.45495745,0.00015279
constant+Day152,other_day107,0.112661912,0.408699065,1.198530984,36.06188341,,0.020956355,,4.904237302,0.000155265
constant+Day153,other_day108,0.117772015,0.427236779,1.252893779,37.29176109,,0.020956222,,5.036310072,0.000157541
constant+Day154,other_day109,0.1143795,0.414929887,1.216803186,29.57730182,,0.021405703,,5.242769596,0.00015693
constant+Day155,other_day110,0.111646536,0.405015625,1.187729106,35.96509919,,0.021405528,,5.013678986,0.000155616
constant+Day156,other_day111,0.107727484,0.390798638,1.146037061,38.4444649,,0.021405717,,4.97714999,0.000164873
constant+Day157,other_day112,0.104752155,0.380005159,1.114384631,39.89732882,,0.021405548,,4.917128967,0.000170893
constant+Day158,other_day113,0.108638195,0.394102388,1.155725479,43.71046181,,0.021405308,,4.912220417,0.000165964
constant+Day159,other_day114,0.116873189,0.423976145,1.243331803,56.5090214,,0.021404505,,5.275594442,0.000166212
constant+Day160,other_day115,0.124162075,0.45041774,1.320873137,58.93302211,,0.021402843,,5.679671108,0.000159999
constant+Day161,other_day116,0.125053663,0.453652118,1.330358116,53.73100173,,0.021397689,,6.041701246,0.000169887
constant+Day162,other_day117,0.118226388,0.428885089,1.257727535,45.52156735,,0.02138831,,5.81001436,0.000165849
constant+Day163,other_day118,0.123086465,0.446515795,1.309430483,51.65488134,,0.021372356,,5.605644022,0.000162088
constant+Day164,other_day119,0.127305836,0.461822236,1.354317407,45.71927535,,0.021317864,,5.959870993,0.000170606
constant+Day165,other_day120,0.128242378,0.465219689,1.364280612,50.38759776,,0.021178365,,5.89738056,0.000169921
constant+Day259,other_day121,0.068100568,0.247045678,0.72447413,47.82488966,,0.01049166,,1.68687244,0.000174906
constant+Day260,other_day122,0.063866575,0.231686193,0.67943165,46.08574918,,0.010420253,,1.562292077,0.000180401
constant+Day261,other_day123,0.057796878,0.209667397,0.6148604,42.73091593,,0.009223872,,1.442041368,0.00018206
constant+Day262,other_day124,0.057674235,0.209222491,0.613555692,56.53186132,,0.009743589,,1.287678615,0.000182763
constant+Day263,other_day125,0.06404746,0.232342383,0.681355961,71.38404728,,0.012218274,,1.408023165,0.000196852
constant+Day264,other_day126,0.066035501,0.239554318,0.702505331,85.49741308,,0.012217618,,1.473348502,0.00018066
constant+Day265,other_day127,0.060288772,0.218707141,0.641369915,75.97421126,,0.01221561,,1.400749399,0.000164574
