Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day355,heat_day90,0.252514469,0.365794174,3.085751682,49.75997404,0.091407895,0.005560848,,10.70828958,7.73E-05
constant+Day356,heat_day91,0.248862221,0.360706237,3.041778574,50.0530764,0.091404392,0.005560848,,10.3337099,7.67E-05
constant+Day357,heat_day92,0.230799743,0.331687287,2.811795756,47.98548879,0.091397068,0.005560847,,10.30488707,7.88E-05
dynamic+Day16,heat_day2,0.256399525,0.37143734,3.127653595,4.938424812,0.089624805,0.004836039,,8.378440717,7.63E-05
dynamic+Day17,heat_day3,0.258698999,0.37476988,3.155706047,4.938591,0.086788447,0.004836039,,8.458327515,7.45E-05
dynamic+Day18,heat_day4,0.262340665,0.379804667,3.199493332,5.009028869,0.086788528,0.004836031,,8.518659231,7.56E-05
dynamic+Day19,heat_day5,0.262548746,0.379706732,3.200909178,5.127987268,0.086788717,0.004836043,,8.754413181,7.52E-05
dynamic+Day20,heat_day6,0.26339431,0.380894997,3.211122877,5.128061236,0.086789615,0.004836039,,8.751645906,7.60E-05
dynamic+Day21,heat_day7,0.265142422,0.383351286,3.23223801,5.021751808,0.086790759,0.004836037,,8.705235136,7.44E-05
dynamic+Day22,heat_day8,0.264855987,0.382033014,3.22629351,4.890760219,0.089661766,0.004836041,,8.556585061,7.54E-05
dynamic+Day23,heat_day9,0.26224125,0.376020503,3.188387206,4.370172186,0.0896618,0.001722442,,8.357255645,7.52E-05
dynamic+Day24,heat_day10,0.27677266,0.40122237,3.377261068,458.6851003,0.089661847,0.005560854,,8.188408805,7.59E-05
dynamic+Day25,heat_day11,0.290325461,0.423876942,3.550882476,638.158186,0.089661892,0.005560854,,8.413758372,7.44E-05
dynamic+Day26,heat_day12,0.295160255,0.434378742,3.619673904,901.4890906,0.089662087,0.00556086,,8.391601798,7.38E-05
dynamic+Day27,heat_day13,0.291611563,0.42939191,3.576808318,901.490359,0.089662725,0.00556086,,8.339334548,7.42E-05
dynamic+Day28,heat_day14,0.285343046,0.420582927,3.501088669,901.4891558,0.089663573,0.00556086,,8.368489824,7.54E-05
dynamic+Day29,heat_day15,0.289294125,0.430449331,3.560868954,1039.135876,0.089664023,0.00556086,,8.048543479,7.48E-05
dynamic+Day30,heat_day16,0.296083561,0.44337263,3.652507001,1279.16706,0.089665007,0.00556086,,7.307979935,7.67E-05
dynamic+Day31,heat_day17,0.312917217,0.4722019,3.870412292,2274.952262,0.089666267,0.00556086,,7.124944505,7.45E-05
dynamic+Day32,heat_day18,0.324093079,0.49002736,4.011404455,2274.842926,0.093682439,0.00556086,,7.287235319,7.51E-05
dynamic+Day33,heat_day19,0.322973195,0.487865181,3.996278101,2274.451778,0.093682408,0.00556086,,7.318342521,7.57E-05
dynamic+Day34,heat_day20,0.323810073,0.489041304,4.006387733,2274.451777,0.093682033,0.00556086,,7.343095737,7.23E-05
dynamic+Day35,heat_day21,0.348339171,0.528990994,4.317966842,2607.036696,0.093681117,0.00556086,,7.369640364,7.30E-05
dynamic+Day36,heat_day22,0.362058123,0.553349831,4.497826466,2852.09722,0.093680277,0.00556086,,7.322701439,7.34E-05
dynamic+Day37,heat_day23,0.377248227,0.580134386,4.696601643,3588.339475,0.093679197,0.00556086,,7.112986354,7.27E-05
dynamic+Day38,heat_day24,0.375462162,0.576471511,4.671770521,3334.381898,0.093677606,0.00556086,,7.223972875,7.21E-05
dynamic+Day39,heat_day25,0.36580313,0.561004168,4.550022572,3154.79467,0.093675428,0.00556086,,7.103801113,7.05E-05
dynamic+Day40,heat_day26,0.355748556,0.542578678,4.416585374,2890.868337,0.093670285,0.005560849,,7.090495774,7.19E-05
dynamic+Day41,heat_day27,0.354842502,0.541305535,4.405641099,2890.864243,0.093646023,0.005560849,,7.076497754,7.29E-05
dynamic+Day42,heat_day28,0.37509958,0.574880892,4.664475302,2999.275283,0.093606674,0.005560849,,7.044610274,6.98E-05
dynamic+Day43,heat_day29,0.371491681,0.569724372,4.620659289,3056.969737,0.093581574,0.005560849,,7.038530753,7.28E-05
dynamic+Day44,heat_day30,0.371418817,0.571133148,4.623742193,3061.308479,0.093540253,0.005560849,,7.028736286,7.13E-05
dynamic+Day45,heat_day31,0.364167529,0.560851022,4.535826218,2749.803653,0.09347332,0.005560849,,6.986875439,7.15E-05
dynamic+Day297,heat_day32,0.194691218,0.323541813,2.496396101,7224.758684,0.084748689,0.005561197,,2.593993063,0.000547962
dynamic+Day298,heat_day33,0.211316299,0.352255796,2.71281753,7523.492104,0.084405704,0.005561196,,2.704931231,9.40E-05
dynamic+Day299,heat_day34,0.216893729,0.36009428,2.780189899,7523.493679,0.086419783,0.005561195,,2.846969271,9.13E-05
dynamic+Day300,heat_day35,0.219045765,0.363118811,2.806185562,7523.487838,0.086461597,0.005561195,,2.937003032,9.71E-05
dynamic+Day301,heat_day36,0.224512277,0.372738769,2.877537017,8641.243377,0.086461634,0.005561195,,2.937191207,9.75E-05
dynamic+Day302,heat_day37,0.226221804,0.374841125,2.897315425,8088.057471,0.086457407,0.005561205,,2.91247307,9.75E-05
dynamic+Day303,heat_day38,0.225554753,0.372502629,2.885286528,7807.512018,0.086457694,0.005561504,,3.114832052,9.91E-05
dynamic+Day304,heat_day39,0.227389784,0.374405489,2.905470967,7069.268569,0.086455703,0.005561561,,3.261842614,1.01E-04
dynamic+Day305,heat_day40,0.2413908,0.398601678,3.087695516,7386.517567,0.086456028,0.005561561,,3.145790081,1.06E-04
dynamic+Day306,heat_day41,0.248959501,0.409406806,3.179586771,7386.637313,0.086460855,0.005561561,,3.519417785,1.04E-04
dynamic+Day307,heat_day42,0.253075267,0.415200995,3.229329855,7386.785618,0.088176015,0.005561561,,3.726145758,1.03E-04
dynamic+Day308,heat_day43,0.254394401,0.4169571,3.244935397,7090.125455,0.088175676,0.005561561,,3.722323912,9.86E-05
dynamic+Day309,heat_day44,0.255022408,0.418439842,3.254181008,6744.465762,0.088174191,0.005561562,,3.703933341,1.06E-04
dynamic+Day310,heat_day45,0.259921143,0.425212334,3.313030748,6485.961963,0.088174511,0.005561562,,3.822932639,1.05E-04
dynamic+Day311,heat_day46,0.277454929,0.451563316,3.530090536,6966.829866,0.08817513,0.005561561,,3.852068309,1.02E-04
dynamic+Day312,heat_day47,0.283597903,0.459645765,3.602646185,6936.167505,0.088168342,0.005561563,,3.892529055,1.03E-04
dynamic+Day313,heat_day48,0.288224268,0.466148372,3.658532224,6936.170886,0.090219134,0.005561564,,4.123844902,1.03E-04
dynamic+Day314,heat_day49,0.2928329,0.472625774,3.714203297,6936.178008,0.090218419,0.005561566,,4.28811709,1.06E-04
dynamic+Day315,heat_day50,0.295176929,0.47554114,3.741439456,6337.870442,0.090218269,0.005561566,,4.28710886,1.04E-04
